library,function,line,file
tensorboard.compat.tf.io.gfile.GFile,tf.io.gfile.GFile,68,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\_embedding.py
tensorboard.compat.proto.attr_value_pb2.AttrValue.ListValue,AttrValue.ListValue,18,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\_proto_graph.py
tensorboard.compat.proto.step_stats_pb2.StepStats,StepStats,353,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\_pytorch_graph.py
tensorboard.compat.proto.step_stats_pb2.DeviceStepStats,DeviceStepStats,353,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\hasanyeganeh\pytorch-pytorch\torch\utils\tensorboard\_pytorch_graph.py
loguru.logger.info,logger.info,37,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\iflytek\iflearner\examples\homo\feddyn\feddyn_server.py
loguru.logger.warning,logger.warning,94,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\iflytek\iflearner\iflearner\communication\hetero\hetero_network.py
openfl.native.logger.warning,fx.logger.warning,272,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\intel\openfl\openfl-tutorials\Federated_Pytorch_MNIST_custom_aggregation_Tutorial.py
orange_cb_recsys.utils.const.logger.info,logger.info,41,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\m3ttiw\orange_cb_recsys\orange_cb_recsys\content_analyzer\content_analyzer_main.py
wandb.watch,wandb.watch,297,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\MccRee177\MPCFormer\transformers\examples\pytorch\vision-transformers-cifar10\train_cifar10.py
wandb.save,wandb.save,320,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\MccRee177\MPCFormer\transformers\examples\pytorch\vision-transformers-cifar10\train_cifar10.py
utils.logger.info,logger.info,32,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\MccRee177\MPCFormer\transformers\examples\research_projects\distillation\distiller.py
utils.logger.error,logger.error,459,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\MccRee177\MPCFormer\transformers\examples\research_projects\distillation\distiller.py
wandb.sweep,wandb.sweep,394,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\MccRee177\MPCFormer\transformers\src\transformers\integrations.py
wandb.agent,wandb.agent,396,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\MccRee177\MPCFormer\transformers\src\transformers\integrations.py
comet_ml.Experiment,comet_ml.Experiment,688,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\MccRee177\MPCFormer\transformers\src\transformers\integrations.py
comet_ml.OfflineExperiment,comet_ml.OfflineExperiment,693,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\MccRee177\MPCFormer\transformers\src\transformers\integrations.py
utils.logging.info,logging.info,1726,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\MccRee177\MPCFormer\transformers\src\transformers\models\tapas\tokenization_tapas.py
utils.logging.warning,logging.warning,2736,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\MccRee177\MPCFormer\transformers\src\transformers\models\tapas\tokenization_tapas.py
transformers.utils.logging.tqdm,tqdm,414,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\MccRee177\MPCFormer\transformers\src\transformers\utils\hub.py
tensorboard.plugins.mesh.summary.op,meshsummary.op,75,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\MiracleHH\nas_privacy\nasbench301\surrogate_models\gnn\models\gcn_utils\tf_logger.py
wandb.Image,wandb.Image,26,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\MrinalJain17\CT-image-segmentation\capstone\interpretability.py
tensorboard.plugins.hparams.api.hparams,hp.hparams,43,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\NigeloYang\federated_learning_differential_privacy\Federated_Learning\paper_model\dp_ftrl\training_loop.py
absl.logging.error,logging.error,250,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\NigeloYang\federated_learning_differential_privacy\Federated_Learning\paper_model\dp_ftrl\utils\optimizers\optimizer_utils.py
utils.training_utils.write_hparams_to_csv,training_utils.write_hparams_to_csv,88,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\NigeloYang\federated_learning_differential_privacy\Federated_Learning\paper_model\dp_ftrl\utils\training_utils_test.py
wandb.log_artifact,wandb.log_artifact,138,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\ocelotconsulting\customer_segmentation\src\segment.py
utils.plot_utils.plot_stats_in_logger,plot_stats_in_logger,169,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\shenzebang\Torch-Privacy-Federated-Learning\main.py
mlflow.log_param,log_param,112,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\simpleParadox\Private-RE\project_622.py
mlflow.log_metric,log_metric,268,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\simpleParadox\Private-RE\project_622.py
wandb.Api,wandb.Api,23,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\sisaman\GAP\core\jobutils\registry.py
clayrs.utils.const.logger.info,logger.info,190,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\swapUniba\ClayRS\clayrs\content_analyzer\content_analyzer_main.py
clayrs.utils.const.logger.warning,logger.warning,253,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\swapUniba\ClayRS\clayrs\content_analyzer\exogenous_properties_retrieval.py
tqdm.contrib.logging.logging_redirect_tqdm,logging_redirect_tqdm,15,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\swapUniba\ClayRS\clayrs\utils\context_managers.py
mlflow.start_run,mlflow.start_run,16,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\Tecnarca\patectsdgym\evaluation\dpbench\benchmark.py
mlflow.log_artifact,mlflow.log_artifact,40,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\Tecnarca\patectsdgym\evaluation\dpbench\benchmark.py
utils.wandb_utils.wandb_save_summary,wandb_save_summary,59,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\yash12khandelwal\traffic_sign_interiit\data\traffic_sign_interiit\train.py
utils.wandb_utils.wandb_log_conf_matrix,wandb_log_conf_matrix,54,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\yash12khandelwal\traffic_sign_interiit\data\traffic_sign_interiit\utils\evaluate.py
utils.wandb_utils.save_model_wandb,save_model_wandb,128,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\yash12khandelwal\traffic_sign_interiit\data\traffic_sign_interiit\utils\trainer.py
utils.wandb_utils.wandb_log,wandb_log,131,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\yash12khandelwal\traffic_sign_interiit\data\traffic_sign_interiit\utils\trainer.py
wandb.plots.HeatMap,wandb.plots.HeatMap,77,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\yash12khandelwal\traffic_sign_interiit\data\traffic_sign_interiit\utils\wandb_utils.py
